FN,Xc1.A,Xc1.R,Xc1.N,Xc1.D,Xc1.C,Xc1.Q,Xc1.E,Xc1.G,Xc1.H,Xc1.I,Xc1.L,Xc1.K,Xc1.M,Xc1.F,Xc1.P,Xc1.S,Xc1.T,Xc1.W,Xc1.Y,Xc1.V,Xc2.lambda1,Xc2.lambda2,Xc2.lambda3,Xc2.lambda4,Xc2.lambda5,Xc2.lambda6,Xc2.lambda7,Xc2.lambda8,Xc2.lambda9,Xc2.lambda10,Xc2.lambda11,Xc2.lambda12,Xc2.lambda13,Xc2.lambda14,Xc2.lambda15,Xc2.lambda16,Xc2.lambda17,Xc2.lambda18,Xc2.lambda19,Xc2.lambda20,Xc2.lambda21,Xc2.lambda22,Xc2.lambda23,Xc2.lambda24,Xc2.lambda25,Xc2.lambda26,Xc2.lambda27,Xc2.lambda28,Xc2.lambda29,Xc2.lambda30,Schneider.Xr.A,Schneider.Xr.R,Schneider.Xr.N,Schneider.Xr.D,Schneider.Xr.C,Schneider.Xr.Q,Schneider.Xr.E,Schneider.Xr.G,Schneider.Xr.H,Schneider.Xr.I,Schneider.Xr.L,Schneider.Xr.K,Schneider.Xr.M,Schneider.Xr.F,Schneider.Xr.P,Schneider.Xr.S,Schneider.Xr.T,Schneider.Xr.W,Schneider.Xr.Y,Schneider.Xr.V,Grantham.Xr.A,Grantham.Xr.R,Grantham.Xr.N,Grantham.Xr.D,Grantham.Xr.C,Grantham.Xr.Q,Grantham.Xr.E,Grantham.Xr.G,Grantham.Xr.H,Grantham.Xr.I,Grantham.Xr.L,Grantham.Xr.K,Grantham.Xr.M,Grantham.Xr.F,Grantham.Xr.P,Grantham.Xr.S,Grantham.Xr.T,Grantham.Xr.W,Grantham.Xr.Y,Grantham.Xr.V,Schneider.Xd.1,Schneider.Xd.2,Schneider.Xd.3,Schneider.Xd.4,Schneider.Xd.5,Schneider.Xd.6,Schneider.Xd.7,Schneider.Xd.8,Schneider.Xd.9,Schneider.Xd.10,Schneider.Xd.11,Schneider.Xd.12,Schneider.Xd.13,Schneider.Xd.14,Schneider.Xd.15,Schneider.Xd.16,Schneider.Xd.17,Schneider.Xd.18,Schneider.Xd.19,Schneider.Xd.20,Schneider.Xd.21,Schneider.Xd.22,Schneider.Xd.23,Schneider.Xd.24,Schneider.Xd.25,Schneider.Xd.26,Schneider.Xd.27,Schneider.Xd.28,Schneider.Xd.29,Schneider.Xd.30,Grantham.Xd.1,Grantham.Xd.2,Grantham.Xd.3,Grantham.Xd.4,Grantham.Xd.5,Grantham.Xd.6,Grantham.Xd.7,Grantham.Xd.8,Grantham.Xd.9,Grantham.Xd.10,Grantham.Xd.11,Grantham.Xd.12,Grantham.Xd.13,Grantham.Xd.14,Grantham.Xd.15,Grantham.Xd.16,Grantham.Xd.17,Grantham.Xd.18,Grantham.Xd.19,Grantham.Xd.20,Grantham.Xd.21,Grantham.Xd.22,Grantham.Xd.23,Grantham.Xd.24,Grantham.Xd.25,Grantham.Xd.26,Grantham.Xd.27,Grantham.Xd.28,Grantham.Xd.29,Grantham.Xd.30,Class
P0A9M5,2.566135791,2.332850719,0.233285072,3.032705934,0.233285072,1.166425359,1.866280575,3.032705934,0.933140288,3.032705934,2.566135791,1.632995503,1.166425359,0.933140288,2.099565647,1.632995503,1.399710431,0.933140288,0.933140288,3.73256115,0.024672318,0.027385739,0.027272589,0.021707195,0.023139587,0.025968483,0.027716741,0.024399517,0.025323589,0.026547197,0.027686727,0.023770122,0.021273078,0.025131147,0.028496188,0.025963738,0.024914548,0.025576486,0.024460941,0.025371558,0.026876868,0.024816673,0.025388684,0.025558733,0.028440337,0.022650685,0.023351672,0.027442114,0.028477202,0.026934472,0.069526304,0.06320573,0.006320573,0.08216745,0.006320573,0.031602865,0.050564584,0.08216745,0.025282292,0.08216745,0.069526304,0.044244011,0.031602865,0.025282292,0.056885157,0.044244011,0.037923438,0.025282292,0.025282292,0.101129169,2.70E-06,2.45E-06,2.45E-07,3.19E-06,2.45E-07,1.23E-06,1.96E-06,3.19E-06,9.81E-07,3.19E-06,2.70E-06,1.72E-06,1.23E-06,9.81E-07,2.21E-06,1.72E-06,1.47E-06,9.81E-07,9.81E-07,3.93E-06,0.036056703,0.039957702,0.038819709,0.031369908,0.033082137,0.036275423,0.037460336,0.034520873,0.035891344,0.033807503,0.036911666,0.030711566,0.027702456,0.034143725,0.036840684,0.032390649,0.03032926,0.031498746,0.031739008,0.033317742,0.033944316,0.029383747,0.030480386,0.030734032,0.035494279,0.026526994,0.028015281,0.032319927,0.03339682,0.030556504,0.03621865,0.037495312,0.036836471,0.035085881,0.032457286,0.036537816,0.040385737,0.032899859,0.036764021,0.033038575,0.036319928,0.0325843,0.027612516,0.033463091,0.035919161,0.033407791,0.032566414,0.03208525,0.03285317,0.035668888,0.034508665,0.030251366,0.030101757,0.031414607,0.034036161,0.027381821,0.030209634,0.029165384,0.032369699,0.030360544,1
P00550,17.79846048,6.396321735,6.396321735,7.508725515,1.11240378,4.171514175,9.455432129,18.63276331,3.615312285,15.01745103,18.63276331,8.621129295,6.952523625,8.064927405,7.23062457,11.1240378,8.34302835,1.11240378,3.059110395,13.90504725,0.022622882,0.025976442,0.023930749,0.021976791,0.02349527,0.023862938,0.024127324,0.024311089,0.023574948,0.023598303,0.025276983,0.023940893,0.024128551,0.024923995,0.024123728,0.02326964,0.024918993,0.023741307,0.024313807,0.023320181,0.024691161,0.024911509,0.023463268,0.0245189,0.023869307,0.024543488,0.02455522,0.022622872,0.025013846,0.024274668,0.108019923,0.03881966,0.03881966,0.045570905,0.006751245,0.025317169,0.057385584,0.113083357,0.021941547,0.09114181,0.113083357,0.05232215,0.042195282,0.048946527,0.043883094,0.067512452,0.050634339,0.006751245,0.018565924,0.084390565,3.64E-06,1.31E-06,1.31E-06,1.54E-06,2.28E-07,8.53E-07,1.93E-06,3.81E-06,7.40E-07,3.07E-06,3.81E-06,1.76E-06,1.42E-06,1.65E-06,1.48E-06,2.28E-06,1.71E-06,2.28E-07,6.26E-07,2.84E-06,0.031426887,0.035653667,0.033983965,0.030257339,0.033450098,0.03345847,0.033637888,0.033042377,0.033406897,0.0334778,0.034972951,0.033416582,0.033600861,0.034506416,0.034297116,0.032390741,0.034167715,0.03233346,0.033558277,0.032806636,0.034679133,0.033405342,0.03150421,0.032808324,0.03300798,0.033363276,0.033718121,0.031344083,0.033077388,0.033558192,0.032908308,0.037544191,0.034491991,0.031942374,0.033221518,0.034167452,0.034400769,0.034171174,0.033662986,0.033610513,0.035787095,0.03147974,0.033300279,0.033733792,0.0337941,0.031675759,0.033966568,0.033842772,0.032100111,0.032334532,0.033628766,0.03377658,0.033147116,0.032186548,0.034019917,0.032675845,0.032525408,0.030996025,0.032770071,0.032137642,1
P0AFX7,5.387067134,2.835298492,1.984708944,1.701179095,0.283529849,9.072955174,5.103537285,2.835298492,1.701179095,1.984708944,5.103537285,1.417649246,2.835298492,1.134119397,4.252947738,3.969417889,3.40235819,1.134119397,0.850589548,4.252947738,0.022787123,0.023031006,0.022361756,0.023035237,0.022055076,0.021860053,0.023771027,0.02396695,0.022682774,0.022425302,0.024157988,0.023543104,0.023705939,0.024026177,0.022737314,0.023992966,0.024678204,0.022925742,0.026316362,0.026062083,0.025713243,0.026793987,0.02452308,0.023511757,0.02506913,0.02414423,0.023776607,0.025133004,0.025211438,0.022471494,0.099132871,0.052175195,0.036522637,0.031305117,0.00521752,0.166960625,0.093915352,0.052175195,0.031305117,0.036522637,0.093915352,0.026087598,0.052175195,0.020870078,0.078262793,0.073045274,0.062610234,0.020870078,0.015652559,0.078262793,3.79E-06,2.00E-06,1.40E-06,1.20E-06,2.00E-07,6.39E-06,3.59E-06,2.00E-06,1.20E-06,1.40E-06,3.59E-06,9.98E-07,2.00E-06,7.99E-07,3.00E-06,2.80E-06,2.40E-06,7.99E-07,5.99E-07,3.00E-06,0.037156963,0.034899621,0.032469183,0.034913768,0.033623314,0.031287801,0.036594657,0.035168532,0.032386129,0.032439052,0.035871612,0.031480976,0.032950775,0.034451638,0.03101436,0.034270215,0.033955396,0.030443881,0.034253005,0.035897751,0.033372197,0.035736779,0.032361045,0.029325924,0.03354555,0.032736061,0.030860944,0.030789602,0.030794031,0.029731714,0.037223565,0.035532197,0.034118919,0.035394799,0.031761606,0.032133106,0.036442147,0.03535099,0.031836346,0.032701069,0.034607211,0.036298639,0.035405322,0.032856039,0.032825927,0.033723618,0.034227105,0.03395764,0.032833335,0.032466668,0.032634477,0.035608434,0.031636149,0.030802575,0.032488732,0.033141817,0.031181044,0.031301629,0.031862463,0.027646232,1
P69801,13.09542543,1.636928179,4.583398902,2.619085087,0.654771272,2.946470723,1.964313815,8.184640896,1.309542543,10.47634035,8.839412168,0.982156908,4.256013266,3.273856358,2.619085087,3.273856358,4.910784538,0.654771272,1.636928179,9.166797803,0.021745898,0.021373544,0.02136448,0.020762661,0.022003101,0.022856991,0.021848236,0.022413185,0.023900199,0.023837388,0.023045243,0.023209009,0.023573798,0.02386753,0.0232557,0.022017322,0.022991504,0.021223067,0.022922346,0.021640904,0.023302958,0.021634663,0.023373428,0.021015279,0.022327551,0.019899774,0.023269412,0.022592523,0.021865686,0.023480984,0.227359753,0.028419969,0.079575914,0.045471951,0.011367988,0.051155944,0.034103963,0.142099846,0.022735975,0.181887802,0.153467833,0.017051981,0.07389192,0.056839938,0.045471951,0.056839938,0.085259907,0.011367988,0.028419969,0.159151827,6.07E-06,7.58E-07,2.12E-06,1.21E-06,3.03E-07,1.36E-06,9.10E-07,3.79E-06,6.07E-07,4.85E-06,4.09E-06,4.55E-07,1.97E-06,1.52E-06,1.21E-06,1.52E-06,2.27E-06,3.03E-07,7.58E-07,4.25E-06,0.035939082,0.033694099,0.033478782,0.031369907,0.034003051,0.034937225,0.033928227,0.035618435,0.035690945,0.034281032,0.03450132,0.034492216,0.034268192,0.033638579,0.034087247,0.032047776,0.033419396,0.031276144,0.034289748,0.032107319,0.033613343,0.031467802,0.033831148,0.031286201,0.032009485,0.028500886,0.032518851,0.029977267,0.031356886,0.032685417,0.036334363,0.035261579,0.033053239,0.030876687,0.033355252,0.035477659,0.034110172,0.03338915,0.035913427,0.034433131,0.035044757,0.034159419,0.035075136,0.033683383,0.03536808,0.034539586,0.032654507,0.02978399,0.034307096,0.031304978,0.03442529,0.031496442,0.033316395,0.030822406,0.033541954,0.03061124,0.033187554,0.030811895,0.03077686,0.032884221,1
P0AEH1,9.63455241,5.831439616,3.54957194,5.577898764,0.507081706,3.296031088,6.084980469,10.64871582,1.521245117,9.127470704,13.18412435,5.577898764,1.77478597,5.577898764,7.352684734,5.577898764,4.056653646,2.028326823,2.028326823,11.15579753,0.024667083,0.02427315,0.023234219,0.024273836,0.023663566,0.026661332,0.023520168,0.02464795,0.024591507,0.025620126,0.024800237,0.025850191,0.024199079,0.024261899,0.025090174,0.024253108,0.025325976,0.025452057,0.026029984,0.023379985,0.026066853,0.024362604,0.025964751,0.025572147,0.024666249,0.025847588,0.024161112,0.024822523,0.025635432,0.025564262,0.085301226,0.051629689,0.031426767,0.04938492,0.004489538,0.029181998,0.053874459,0.094280302,0.013468615,0.080811688,0.116727993,0.04938492,0.015713384,0.04938492,0.065098304,0.04938492,0.035916306,0.017958153,0.017958153,0.098769841,3.06E-06,1.85E-06,1.13E-06,1.77E-06,1.61E-07,1.05E-06,1.93E-06,3.39E-06,4.84E-07,2.90E-06,4.19E-06,1.77E-06,5.64E-07,1.77E-06,2.34E-06,1.77E-06,1.29E-06,6.45E-07,6.45E-07,3.55E-06,0.034359521,0.033084774,0.032425307,0.033486597,0.03231613,0.036334224,0.032205373,0.03272305,0.033044493,0.03376984,0.033675175,0.034654585,0.032527376,0.033398569,0.032735127,0.032207091,0.033206698,0.034669157,0.034317325,0.031225887,0.034275212,0.031971652,0.035037815,0.033227446,0.03243577,0.034858891,0.031136806,0.032099888,0.033238502,0.03310695,0.035725698,0.033795066,0.032886427,0.033481481,0.033590282,0.036349982,0.033187549,0.034251872,0.032841398,0.034769209,0.032896512,0.0341215,0.031760518,0.034656966,0.032737305,0.030787608,0.034187448,0.033256835,0.035362256,0.032035941,0.033750964,0.032966571,0.033473251,0.033124125,0.031862378,0.03485506,0.032142227,0.031299359,0.03222175,0.031622383,1
P02919,16.97099841,14.97441036,8.73507271,12.97782231,0.499147012,15.72313088,9.483793228,16.4718514,1.24786753,9.483793228,20.714601,9.98294024,6.738484662,6.23933765,12.97782231,12.4786753,9.98294024,3.244455578,7.48720518,14.22568984,0.024758006,0.025870416,0.024802835,0.025235754,0.024505044,0.024420482,0.02510754,0.025248791,0.024180568,0.025634513,0.025483183,0.025300377,0.025595043,0.025202094,0.024030875,0.024530855,0.025957545,0.024913399,0.024105455,0.024511802,0.025091937,0.024213546,0.025000562,0.024849204,0.025050877,0.025745482,0.024716358,0.024373651,0.026381658,0.025608641,0.078389415,0.069167131,0.040347493,0.059944847,0.002305571,0.072625488,0.04380585,0.076083844,0.005763928,0.04380585,0.095681198,0.046111421,0.031125209,0.028819638,0.059944847,0.057639276,0.046111421,0.014986212,0.034583566,0.065708775,2.96E-06,2.61E-06,1.52E-06,2.26E-06,8.71E-08,2.74E-06,1.65E-06,2.87E-06,2.18E-07,1.65E-06,3.61E-06,1.74E-06,1.18E-06,1.09E-06,2.26E-06,2.18E-06,1.74E-06,5.66E-07,1.31E-06,2.48E-06,0.033764087,0.034567084,0.033292796,0.033707164,0.033057353,0.033373139,0.033594827,0.0335306,0.032622693,0.033838349,0.034834221,0.033645204,0.033159691,0.033363911,0.032801899,0.033209423,0.034011078,0.033128643,0.032582192,0.032037056,0.03339023,0.032282218,0.03309953,0.032841061,0.033636253,0.033733693,0.03174386,0.032521592,0.034277901,0.033199466,0.03407872,0.034439712,0.03321203,0.034290624,0.033800249,0.034840194,0.033659666,0.033073123,0.031850009,0.033967712,0.032969893,0.034036277,0.03356072,0.033589259,0.032635898,0.032892144,0.034582968,0.033233715,0.032951983,0.033098566,0.032403559,0.032542086,0.031854734,0.032087117,0.031866473,0.034825946,0.033176323,0.032130692,0.034466988,0.033882574,1
P25714,11.56185151,4.229945674,7.331905835,6.767913078,0.281996378,11.84384789,5.357931187,10.71586237,1.973974648,9.869873239,15.5098008,8.17789497,6.203920322,7.613902213,9.587876861,8.459891348,10.71586237,3.101960161,6.767913078,8.459891348,0.022923387,0.023507915,0.023062405,0.023879515,0.024253505,0.02408883,0.022852164,0.0226965,0.023105907,0.022914091,0.02385327,0.023605747,0.023924117,0.023645618,0.024569,0.02358585,0.023500674,0.024314538,0.02555431,0.024387138,0.024933029,0.024669581,0.023857596,0.023861408,0.025125897,0.024272113,0.023541795,0.025403674,0.024398631,0.023715415,0.084137675,0.030782076,0.053355599,0.049251322,0.002052138,0.086189814,0.03899063,0.07798126,0.014364969,0.071824845,0.112867613,0.059512014,0.045147045,0.055407737,0.069772706,0.061564153,0.07798126,0.022573523,0.049251322,0.061564153,2.87E-06,1.05E-06,1.82E-06,1.68E-06,7.01E-08,2.94E-06,1.33E-06,2.66E-06,4.91E-07,2.45E-06,3.85E-06,2.03E-06,1.54E-06,1.89E-06,2.38E-06,2.10E-06,2.66E-06,7.71E-07,1.68E-06,2.10E-06,0.032305007,0.03185589,0.032289054,0.033625529,0.033909744,0.033986953,0.033295974,0.031864375,0.03344538,0.032481857,0.032999925,0.032972508,0.033086758,0.03311045,0.033769966,0.033862809,0.033270503,0.033968574,0.034863573,0.033414415,0.03340861,0.033645539,0.033422266,0.033991006,0.034125661,0.032962413,0.032342458,0.034597393,0.032425545,0.032647726,0.032759565,0.033270796,0.033297954,0.032397296,0.03544612,0.035884447,0.033126285,0.032673632,0.03303628,0.032695422,0.034032613,0.033859394,0.034636785,0.033161643,0.03453026,0.032920925,0.033525847,0.034638761,0.034636427,0.031835996,0.034064173,0.034615962,0.031524294,0.03162423,0.033629602,0.033312693,0.031295273,0.033486598,0.032894264,0.031186394,1
P03960,25.40372709,8.918329722,6.48605798,8.918329722,1.621514495,6.215805564,8.107572474,15.4043877,1.351262079,14.32337804,19.99867877,8.37782489,5.134795901,6.215805564,7.026562811,9.999339385,11.08034905,2.162019327,1.621514495,15.94489253,0.023255098,0.025125284,0.024492905,0.023718483,0.023886844,0.024470282,0.023897465,0.024429103,0.022922917,0.024566459,0.02501881,0.023439487,0.023183032,0.024280814,0.024485304,0.024232053,0.02481633,0.02429545,0.024581851,0.023985696,0.024183986,0.024770138,0.024953642,0.02473259,0.026146373,0.025223475,0.023591916,0.023577044,0.024701955,0.024782801,0.15025255,0.052748236,0.038362353,0.052748236,0.009590588,0.036763922,0.047952942,0.091110589,0.007992157,0.084716863,0.118283923,0.049551373,0.030370196,0.036763922,0.041559216,0.059141961,0.065535687,0.012787451,0.009590588,0.094307452,5.06E-06,1.77E-06,1.29E-06,1.77E-06,3.23E-07,1.24E-06,1.61E-06,3.07E-06,2.69E-07,2.85E-06,3.98E-06,1.67E-06,1.02E-06,1.24E-06,1.40E-06,1.99E-06,2.20E-06,4.30E-07,3.23E-07,3.17E-06,0.032967307,0.035755957,0.034890439,0.033443231,0.033333367,0.033489115,0.033094131,0.033599356,0.031660695,0.033975344,0.033795309,0.032676218,0.032145763,0.033309096,0.032947199,0.033772443,0.033930371,0.033234622,0.032761203,0.03191669,0.032714024,0.033191994,0.03304102,0.033896463,0.035136759,0.033467538,0.032068446,0.031667224,0.032956208,0.033564036,0.033352273,0.035956744,0.033774214,0.034730389,0.032513774,0.033606109,0.032785201,0.033044706,0.033081351,0.033254617,0.034631314,0.033814875,0.032302508,0.033876628,0.033864049,0.034043872,0.034484248,0.032840684,0.032927218,0.031651194,0.032892273,0.03335117,0.033500307,0.033490552,0.034448313,0.032965927,0.031154147,0.032576931,0.033147202,0.031937157,1
P0C0S1,8.50958488,4.641591753,4.383725544,4.125859336,0,2.320795876,2.578662085,5.673056587,0,8.251718671,7.220253837,2.320795876,1.805063459,2.836528293,1.289331042,4.899457961,2.320795876,0.773598625,1.547197251,8.251718671,0.024102461,0.02502595,0.022683719,0.024219812,0.023399191,0.025608294,0.023280918,0.025351055,0.027992062,0.025371287,0.025265251,0.024786653,0.025411021,0.023335185,0.025367997,0.025337113,0.025266897,0.023668647,0.024734806,0.024306873,0.023405769,0.025794086,0.026453444,0.024573198,0.023601097,0.024601474,0.025753172,0.022359394,0.02533556,0.025741408,0.128671377,0.070184387,0.066285255,0.062386122,0,0.035092194,0.038991326,0.085780918,0,0.124772244,0.109175714,0.035092194,0.027293928,0.042890459,0.019495663,0.07408352,0.035092194,0.011697398,0.023394796,0.124772244,4.30E-06,2.34E-06,2.21E-06,2.08E-06,0,1.17E-06,1.30E-06,2.87E-06,0,4.17E-06,3.65E-06,1.17E-06,9.12E-07,1.43E-06,6.51E-07,2.47E-06,1.17E-06,3.91E-07,7.82E-07,4.17E-06,0.033651831,0.035037135,0.031810354,0.03360649,0.0325906,0.034598152,0.032869217,0.034885026,0.038355539,0.034982322,0.035493726,0.034588433,0.034579144,0.032061017,0.032890069,0.034261777,0.034101467,0.032190681,0.032368803,0.032310833,0.031008039,0.032600451,0.033056862,0.033008962,0.030152806,0.031270894,0.032754908,0.029561833,0.032337341,0.033116155,0.036449031,0.036359671,0.034861463,0.034338214,0.033971995,0.035859191,0.033055329,0.034977956,0.035471024,0.035578412,0.034443986,0.033093613,0.03388584,0.031209152,0.03388089,0.033459961,0.032940008,0.03223533,0.032100339,0.031207016,0.030162588,0.034353311,0.031646506,0.033916842,0.031494764,0.031545462,0.03131964,0.031667192,0.033349395,0.031165749,1
P0DMC5,16.65919991,16.40678779,11.86336963,13.37784235,3.533769678,10.34889691,14.63990295,13.63025447,3.786181797,14.38749083,28.77498166,9.086836314,7.067539355,8.582012074,10.60130903,17.92126051,11.35854539,2.524121198,6.815127235,18.17367263,0.024062602,0.025239592,0.025118657,0.024340383,0.025524816,0.025666218,0.024126883,0.026299107,0.02475217,0.025166699,0.024263263,0.024871558,0.024728669,0.024320918,0.024983532,0.024482027,0.024369817,0.025824814,0.025711183,0.024971787,0.023245318,0.024911569,0.025363817,0.02508891,0.025143772,0.024804469,0.025678188,0.02487344,0.024621673,0.025032027,0.066060829,0.065059908,0.047043318,0.053048848,0.014012903,0.041037788,0.058053456,0.054049769,0.015013825,0.057052534,0.114105069,0.03603318,0.028025806,0.034031336,0.042038709,0.071065437,0.045041474,0.010009217,0.027024885,0.072066359,2.33E-06,2.29E-06,1.66E-06,1.87E-06,4.93E-07,1.44E-06,2.04E-06,1.90E-06,5.28E-07,2.01E-06,4.02E-06,1.27E-06,9.86E-07,1.20E-06,1.48E-06,2.50E-06,1.59E-06,3.52E-07,9.51E-07,2.54E-06,0.033523996,0.033926597,0.034127818,0.032514233,0.033981722,0.034364542,0.032249515,0.034731499,0.033713705,0.033470519,0.033134697,0.033540532,0.033798757,0.032417943,0.033365994,0.032941992,0.032716938,0.035181998,0.03368908,0.033146523,0.030658559,0.032841102,0.033345439,0.033578758,0.033043655,0.032373969,0.033476672,0.033178861,0.032706518,0.033256943,0.033228135,0.034231964,0.034292307,0.0333506,0.034890179,0.034329457,0.03348169,0.033240088,0.033187101,0.03304193,0.032455211,0.032678712,0.033033721,0.03268945,0.033550052,0.033948966,0.033513673,0.033834818,0.034472107,0.033566135,0.032397201,0.033168655,0.032745065,0.033004941,0.033327626,0.032588412,0.033083023,0.03370612,0.032581802,0.032380825,1
